"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711226511906960E9,"2024-03-23 16:41:51.907 UTC-04:00"
"PAUSE",5.030193659166689E2,1.711227014928850E9,"2024-03-23 16:50:14.929 UTC-04:00"
