"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711225873539536E9,"2024-03-23 16:31:13.540 UTC-04:00"
"PAUSE",2.488114987083536E2,1.711226122352225E9,"2024-03-23 16:35:22.352 UTC-04:00"
