"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.669048333E-1,-1.930984497E-1,1.911674652E0,9.318871307E0,9.514890931E0
6.768858333E-1,-2.006277924E0,1.509910126E0,6.253994751E0,6.739245510E0
6.868668333E-1,-2.146685944E0,3.173400879E-1,3.928879852E0,4.488325096E0
6.968478333E-1,-2.162253571E0,2.017803955E-1,4.161047058E0,4.693651931E0
7.068288333E-1,-3.143014069E0,8.445437622E-1,5.449866943E0,6.347664240E0
7.168098333E-1,-3.498225403E0,1.088835754E0,7.552544403E0,8.394288012E0
7.267908333E-1,-3.852688293E0,2.050585785E0,1.031025970E1,1.119596197E1
7.367728333E-1,-3.783831482E0,2.149230652E0,1.138083344E1,1.218441393E1
7.467538333E-1,-3.378025360E0,1.599124603E0,1.118324432E1,1.179123439E1
7.567348333E-1,-2.665207672E0,1.516945496E0,1.078267731E1,1.121028927E1
7.667158333E-1,-1.963616638E0,2.056423645E0,1.089449478E1,1.125942650E1
7.766968333E-1,-1.476978607E0,2.558180237E0,1.070409073E1,1.110420237E1
7.866778333E-1,-1.252894592E0,2.625540161E0,9.776020660E0,1.019969539E1
7.966588333E-1,-1.024918671E0,2.795137482E0,8.697214050E0,9.192648370E0
8.066398333E-1,-5.544470215E-1,2.890339508E0,7.899672546E0,8.430083055E0
8.166208333E-1,-1.880090332E-1,2.695444794E0,7.377558289E0,7.856789187E0
8.266018333E-1,7.677534485E-1,2.115251312E0,7.650291138E0,7.974376964E0
8.365838333E-1,2.067051544E0,1.732048187E0,9.079968109E0,9.471985741E0
8.465648333E-1,3.285068665E0,2.796484680E0,9.434730377E0,1.037430190E1
8.565458333E-1,4.350852356E0,4.851261749E0,9.048383789E0,1.115069083E1
8.665268333E-1,4.888384552E0,6.635850677E0,8.930728455E0,1.215272515E1
8.765078333E-1,4.137545929E0,7.247478790E0,7.939938812E0,1.151902181E1
8.864888333E-1,2.458337860E0,7.265740814E0,6.815327454E0,1.026075547E1
