"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.085877083E-1,1.496370752E0,8.874319196E-2,-1.037456197E0,1.822996473E0
6.185997083E-1,1.282581783E0,2.945406246E-1,-9.872251797E-1,1.645109044E0
6.286127083E-1,6.139144472E-1,5.790304703E-1,-8.243229941E-1,1.179693025E0
6.386247084E-1,3.782289717E-1,6.288019699E-1,-6.508062849E-1,9.808149127E-1
6.486367084E-1,5.849683177E-1,7.012928259E-1,-1.844492483E-1,9.316764920E-1
6.586487084E-1,1.033728670E0,9.220415890E-1,2.019265759E-1,1.399832132E0
6.686607084E-1,1.226494267E0,6.736518681E-1,3.107016709E-1,1.433398254E0
6.786727083E-1,1.176140824E0,4.790056604E-1,5.945331931E-1,1.402220873E0
6.886847083E-1,8.689759143E-1,2.767522252E-1,4.157276043E-1,1.002267616E0
6.986967083E-1,1.001142869E0,5.277954125E-1,-1.371354796E-2,1.131831746E0
7.087087084E-1,1.500331071E0,1.028736902E0,-3.355096893E-1,1.849826935E0
7.187207084E-1,1.356746551E0,1.240541764E0,-7.452364057E-1,1.983704205E0
7.287327084E-1,5.593578056E-1,1.301250481E0,-9.324163038E-1,1.695739996E0
7.387447084E-1,1.666615798E-1,1.124126040E0,-3.516696392E-1,1.189582688E0
7.487567083E-1,-2.664897770E-2,9.297458804E-1,4.581527352E-2,9.312553943E-1
7.587687083E-1,7.681158297E-2,9.575605005E-1,-5.430022297E-2,9.621697593E-1
7.687807083E-1,5.845374510E-1,7.687176543E-1,-2.890793435E-1,1.008056412E0
7.787927084E-1,1.141295000E0,2.572710568E-1,-4.582088685E-1,1.256462511E0
7.888057084E-1,1.338202545E0,-6.636063516E-2,-6.211403632E-1,1.476822649E0
7.988177084E-1,1.371822281E0,-1.935837686E-2,-4.619709671E-1,1.447649229E0
8.088297084E-1,1.389176817E0,3.876499325E-1,-3.878110964E-2,1.442771178E0
8.188417084E-1,1.438393416E0,7.112015176E-1,3.456277112E-1,1.641414552E0
8.288537083E-1,1.599981220E0,7.104448879E-1,4.260673453E-1,1.801722850E0
8.388657083E-1,1.629993809E0,5.038750380E-1,2.741385015E-1,1.727981999E0
8.488777083E-1,1.431596905E0,2.893570679E-1,3.344835395E-1,1.498357917E0
8.588897084E-1,1.192267152E0,2.943020582E-1,3.374983639E-1,1.273585415E0
8.689017084E-1,1.314928288E0,3.463498789E-1,7.370631677E-1,1.546692198E0
8.789137084E-1,1.708705810E0,7.686077267E-1,2.810224285E-1,1.894573036E0
8.889257084E-1,1.800504172E0,9.937705529E-1,-5.180165291E-2,2.057201642E0
8.989377083E-1,1.403717673E0,7.992249173E-1,8.846597912E-2,1.617717529E0
9.089497083E-1,1.074767061E0,6.756171173E-1,9.852671664E-2,1.273298959E0
9.189617083E-1,7.146230158E-1,5.969287974E-1,-4.061943769E-2,9.320193038E-1
9.289737083E-1,3.193998061E-1,4.373261225E-1,-2.915951628E-2,5.423289140E-1
9.389857084E-1,-1.287147582E-2,8.528514862E-2,-6.353409111E-2,1.071252174E-1
9.489987084E-1,-2.233978259E-1,-1.853900653E-1,-2.408351548E-1,3.771970794E-1
9.590107084E-1,-3.202230576E-1,-1.509335929E-1,-3.368060901E-1,4.886328871E-1
9.690227084E-1,-5.041010329E-1,-2.505356491E-2,-2.021756673E-1,5.437099713E-1
9.790347083E-1,-8.263656458E-1,-2.821456969E-2,-3.426176012E-2,8.275567115E-1
9.890467083E-1,-1.098889749E0,-2.191261607E-1,-1.104516013E-1,1.125954933E0
